               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10833,            0.012913,                   0,             0.16332,             0.31597,             0.12218,            0.035503,             0.07619,            0.012253,                   0,            0.070155,           0.0033162,           0.0033162
                   1,            0.075674,           0.0099575,                   0,             0.58873,             0.51114,             0.51033,             0.17812,            0.065494,            0.010108,                   0,            0.040148,           0.0066429,           0.0066429
                   2,            0.072585,           0.0087683,                   0,             0.63337,             0.45748,             0.48665,             0.17731,            0.065395,            0.010526,                   0,            0.010135,           0.0099631,           0.0099631
                   3,            0.070179,           0.0085106,                   0,             0.65827,             0.47192,             0.50802,             0.18772,            0.064163,           0.0099773,                   0,           0.0099703,           0.0099703,           0.0099703
                   4,            0.066029,           0.0083238,                   0,             0.64437,             0.47568,             0.53368,              0.1912,            0.062601,           0.0098635,                   0,           0.0099703,           0.0099703,           0.0099703
                   5,             0.06239,           0.0080126,                   0,             0.64892,             0.52087,             0.52789,             0.18531,             0.06452,             0.01032,                   0,           0.0099604,           0.0099604,           0.0099604
                   6,            0.060523,           0.0079945,                   0,             0.70965,             0.46627,             0.51587,             0.21244,            0.064507,           0.0098149,                   0,           0.0099505,           0.0099505,           0.0099505
                   7,            0.059554,           0.0077641,                   0,             0.78929,             0.60339,             0.66113,             0.25574,            0.056372,           0.0084838,                   0,           0.0099406,           0.0099406,           0.0099406
                   8,            0.057353,           0.0075402,                   0,             0.80052,             0.64481,              0.7026,             0.28946,            0.053064,            0.008046,                   0,           0.0099307,           0.0099307,           0.0099307
                   9,            0.056933,           0.0074021,                   0,              0.7714,             0.61095,             0.67087,             0.27359,            0.054253,           0.0089839,                   0,           0.0099208,           0.0099208,           0.0099208
                  10,            0.055391,              0.0073,                   0,             0.83573,             0.67618,             0.73915,             0.30886,             0.05189,           0.0075754,                   0,           0.0099109,           0.0099109,           0.0099109
                  11,             0.05452,           0.0073275,                   0,             0.81046,             0.67148,             0.71792,             0.29888,            0.052051,            0.007996,                   0,            0.009901,            0.009901,            0.009901
                  12,            0.053615,            0.007025,                   0,             0.84548,             0.66443,             0.74231,             0.32576,            0.051032,           0.0077714,                   0,           0.0098911,           0.0098911,           0.0098911
                  13,            0.054047,           0.0070515,                   0,             0.81669,             0.67148,             0.74117,             0.31952,            0.051449,           0.0078521,                   0,           0.0098812,           0.0098812,           0.0098812
                  14,              0.0529,           0.0070114,                   0,             0.82802,             0.66771,             0.73204,             0.32015,            0.051553,           0.0076657,                   0,           0.0098713,           0.0098713,           0.0098713
                  15,            0.051675,           0.0069722,                   0,             0.85201,             0.68101,             0.74972,             0.32279,            0.051332,           0.0074752,                   0,           0.0098614,           0.0098614,           0.0098614
                  16,            0.051823,           0.0068467,                   0,             0.84311,             0.68089,             0.74255,              0.3124,            0.051225,           0.0078032,                   0,           0.0098515,           0.0098515,           0.0098515
                  17,            0.051134,           0.0068365,                   0,             0.81075,             0.62775,             0.69317,             0.28938,            0.052009,           0.0084572,                   0,           0.0098416,           0.0098416,           0.0098416
                  18,             0.05132,           0.0068687,                   0,              0.8512,             0.67901,             0.73581,             0.31774,            0.050713,           0.0076258,                   0,           0.0098317,           0.0098317,           0.0098317
                  19,            0.050641,           0.0067004,                   0,             0.83833,              0.6785,             0.73319,             0.32045,            0.051374,           0.0073115,                   0,           0.0098218,           0.0098218,           0.0098218
                  20,            0.050998,           0.0068186,                   0,             0.82337,             0.69093,             0.75176,             0.33643,                0.05,           0.0073674,                   0,           0.0098119,           0.0098119,           0.0098119
